profile_name,workload,lifestyle,budget,os_preference,rec1_nombre,rec1_id,rec1_precio_ars,rec2_nombre,rec2_id,rec2_precio_ars,rec3_nombre,rec3_id,rec3_precio_ars,notas
El Estudiante Viajero,productividad_estudio,maxima_portabilidad,esencial,windows,EXO Smart T38 14" 4GB 128GB,51cd723f,352000,Noblex N14x1010 14.1" 4GB 128GB,c1d2d1f9,439999,Lenovo IdeaPad 1 14" N4500 4GB 128GB,1633a121,455000,
El Becario con Gustos,productividad_estudio,maxima_portabilidad,esencial,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,,,,Sin Mac disponible en rango esencial. Opciones mínimas a $1.7M+
El Tesis en Linux,productividad_estudio,maxima_portabilidad,esencial,abierto,EXO Exolite L1 Linux 11" 8GB 480GB,6b371488,577199,EXO Smart T38 14" 4GB 128GB,51cd723f,352000,Noblex N14x1000 14.1" 4GB 128GB,d59625fc,394999,EXO Exolite ya viene con Linux instalado
El Universitario Clasico,productividad_estudio,movil_flexible,esencial,windows,EXO Smart R41 14.1" 4GB 128GB,f0668576,367499,Asus Vivobook Go 15 N100 4GB 128GB,a14cfd33,505469,Gfast N-321r Ryzen3 8GB 240GB,a6b1908e,634999,
El Estudiante Con Aspiraciones,productividad_estudio,movil_flexible,esencial,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,Mac mini M4 16GB/256GB,d8d84f9f,1750000,Sin Mac en rango esencial. La más barata a $1.7M+
El Autodidacta Digital,productividad_estudio,movil_flexible,esencial,abierto,EXO Smart T38 14" 4GB 128GB,51cd723f,352000,Noblex N14x1000 14.1" 4GB 128GB,d59625fc,394999,Gfast N-321r Ryzen3 8GB 240GB,a6b1908e,634999,
El Estudiante de Base,productividad_estudio,escritorio_fijo,esencial,windows,Gfast Chicago 1.1 15.6" N4020 4GB,097e2eda,400000,Gfast N-152 15.6" N4020 4GB 128GB,9f257fa0,448399,Gfast Berlin 15.6" N4020 4GB 128GB,6e66f7c3,461000,
El Fanatico Apple Fijo,productividad_estudio,escritorio_fijo,esencial,macos,Mac mini M4 16GB/256GB,d8d84f9f,1750000,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,Sin Mac en rango esencial. Mac mini es la mejor opción escritorio
El Geek Estudiantil,productividad_estudio,escritorio_fijo,esencial,abierto,Asus Vivobook Go 15 N100 4GB 128GB,a14cfd33,505469,Lenovo IdeaPad 1 15" N4500 4GB 128GB,e823e6a6,638499,Gfast N-536r Ryzen5 8GB 480GB,776cf870,749999,
El Profesional Nomade,productividad_estudio,maxima_portabilidad,equilibrado,windows,Asus Vivobook 14 i5 1334U 12GB 256GB,80fb8b8a,998800,Lenovo Yoga 7 14" Ryzen AI 5 16GB 512GB,a0733607,1124751,Dell Inspiron 14 5440 i5 16GB DDR5 512GB,143cbd8b,1576499,
El Freelancer de Cafe,productividad_estudio,maxima_portabilidad,equilibrado,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,
El Consultor Open Source,productividad_estudio,maxima_portabilidad,equilibrado,abierto,Lenovo Yoga 7 14" Ryzen AI 5 16GB 512GB,a0733607,1124751,Dell Inspiron 14 Snapdragon X 16GB 512GB,e6c21ac6,1299999,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,
El Teletrabajador Hibrido,productividad_estudio,movil_flexible,equilibrado,windows,HP 255 G10 Ryzen3 7330U 16GB 512GB,4d4c493c,1037999,Dell Inspiron 15 Ryzen5 7520U 8GB 512GB,b2f69884,1076499,HP 255 G10 Ryzen5 7520U 16GB 512GB,6002c3bc,1293199,
El Profesional Apple,productividad_estudio,movil_flexible,equilibrado,macos,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,MacBook Air M2 13" 8GB/256GB,ff382032,1900000,MacBook Air M4 13" 16GB/256GB,6bd3cfa5,2250000,
El Dev Full Stack,productividad_estudio,movil_flexible,equilibrado,abierto,HP 255 G10 Ryzen5 7520U 16GB 512GB,6002c3bc,1293199,Dell Inspiron 15 Ryzen5 7520U 8GB 512GB,b2f69884,1076499,MacBook Air M2 13" 8GB/512GB,b81d5496,1700000,
El Teletrabajador Estable,productividad_estudio,escritorio_fijo,equilibrado,windows,HP 255 G10 Ryzen7 7730U 16GB 512GB,5e69524a,1599999,HP 255r G10 Ryzen7 7735U 16GB 512GB,d1289b4e,1599999,Lenovo IdeaPad Slim 3 15" Ryzen7 7735HS 16GB 1TB,4d61df20,1798899,
